district	huyện
peep	nhìn trộm
bunch	bó
the	các
hospital	bệnh viện
tatsy	ướt át
charm	quyến rũ
brunch	bữa sáng muộn
cookie	bánh quy
figured	hình dung
lilys	hoa huệ
money	tiền bạc
reveiw	làm lại
stel	tấm bia
baguettes	bánh mì baguette
walkin	bước vào
intercontinal	liên lục địa
manky	lưu manh
baguette	bánh mì dài
blacklist	danh sách đen
resor	người bán lại
doorman	người gác cửa
afterall	sau tất cả
water	nước
thai	thái
logic	hợp lý
thuy	thủy
warm	ấm áp
bohemien	phóng túng
adorable	đáng yêu
brasserie	quán bia
didn	không
shining	sáng
walker	người đi bộ
sunbeds	giường tắm nắng
massage	mát xa
leaf	lá cây
restaunt	nhà hàng
residences	cư xá
cassia	trái bả đậu
pickering	hái lượm
man	đàn ông
operation	hoạt động
traning	huấn luyện
valentine	lễ tình nhân
fort	pháo đài
inperial	thành nội
spoons	thìa
desk	bàn
ever	không bao giờ
minimarts	siêu thị nhỏ
experence	kinh nghiệm
quite	khá
recomend	gợi ý
hazard	nguy hiểm
line	hàng
vodka	rượu vodka
place	địa điểm
peoples	dân tộc
arrive	đến
perverts	những kẻ biến thái
tamarind	quả me
snow	tuyết
telling	nói
like	giống
hangar	nhà chứa máy bay
barman	người phục vụ
wolfpack	bầy sói
paradise	thiên đường
partys	vợ chồng
rise	tăng lên
guests	khách
out	ngoài
nine	chín
yang	dương
rain	mưa
upside	ngược lại
cheetah	con báo
pink	hồng
double	gấp đôi
arts	nghệ thuật
well	tốt
crystal	pha lê
bathtub	bồn tắm
landscape	phong cảnh
stressful	căng thẳng
locker	khóa
kidgroup	nhóm trẻ
terrific	khủng khiếp
cleaners	chất tẩy rửa
hairgrip	kẹp tóc
agreable	dễ chịu
clothes	quần áo
oaks	cây sồi
pationate	gỉ sắt
belle	bụng
domance	thống trị
below	phía dưới
killer	sát thủ
amenties	tiện nghi
elegant	thanh lịch
clud	loảng xoảng
brackfast	bữa ăn sáng
convinience	tiện
postoffice	bưu điện
lily	hoa loa kèn
haggle	mặc cả
pat	vỗ nhẹ
squished	nhăn nheo
choose	chọn
villas	biệt thự
top	hàng đầu
newly	mới
concept	ý tưởng
phones	những cái điện thoại
woefully	khốn nạn
simplicity	sự đơn giản
admin	quản trị viên
social	xã hội
reivew	ôn tập
lovely	đáng yêu
hurray	tiếng hoan hô
sad	buồn
but	nhưng
housemade	làm tại nhà
back	trở lại
request	yêu cầu
crepe	bánh crepe
conditioner	dầu xả
scam	lừa đảo
overall	nhìn chung
checking	kiểm tra
loctaion	vị trí
great	tuyệt quá
panorama	toàn cảnh
confirmed	đã xác nhận
remote	xa xôi
luan	luân
yourselves	chính bạn
residence	nơi cư trú
spice	gia vị
hoarsening	khản giọng
centre	trung tâm
despite	bất chấp
corner	góc
venue	hội họp
jazzcuzi	bể sục
mastic	gắn gương
frendly	tự do
good	tốt
said	nói
since	từ
classy	sang trọng
seaside	bờ biển
candy	kẹo
lunar	mặt trăng
traveller	lữ khách
hightly	cao ngạo
muine	mũi tên
travelblog	blog du lịch
flipside	lật mặt
festival	lễ hội
swiming	bơi lội
jade	ngọc bích
upside	lộn ngược
parasailing	nhảy dù
resort	phương sách
lcoation	vị trí
quanh	quánh
simple	đơn giản
mix	pha trộn
acccomdating	gia nhập
ladies	quý cô
mega	siêu cấp
rosemary	cây mê điệt
master	bậc thầy
gioi	giời
eden	vườn địa đàng
tout	chào hàng
journey	hành trình
brekky	rượu bia
town	thị trấn
recommend	giới thiệu
game	trò chơi
indepence	sự độc lập
closeby	gần đây
recipient	người nhận
first	đầu tiên
pm	buổi chiều
lodge	lều
johny	ạ
unpleasant	khó chịu
rogue	giả mạo
overbooked	đặt trước quá nhiều
cheating	gian lận
scenic	phong cảnh
minimart	siêu thị nhỏ
liker	người nói dối
towers	tháp
nail	móng tay
infinity	vô cực
enthusiastic	nhiệt tâm
translate	phiên dịch
successful	thành công
apple	táo
butter	bơ
omg	chúa ơi
pics	bức ảnh
stank	hôi thối
grey	màu xám
traintickets	ve xe lửa
menu	thực đơn
clean	dọn dẹp
violet	màu tím
memory	ký ức
unusual	bất thường
entree	đồng ý
toot	thổi còi
solo	đấu
sheets	tờ giấy
openning	mở ra
magnolia	mộc lan
walking	đi dạo
rainbow	cầu vồng
attitude	thái độ
utter	thốt ra
welcomed	hoan nghênh
decanter	bình gạn
bang	tiếng nổ
dorm	ký túc xá
swarm	họp lại
rooms	phòng
traveling	đi du lịch
buddy	bạn bè
scandinavia	bán đảo scandinavia
options	tùy chọn
bieu	biều
jungle	rừng nhiệt đới
mate	người bạn đời
travellance	du lịch
south	miền nam
wave	làn sóng
quat	quất
steak	miếng bò hầm
deluxe	sang trọng
alot	rất nhiều
value	giá trị
nhit	nhắng nhít
relax	thư giãn
tomatoe	cà chua
have	có
frienly	thân thiện
beaches	bãi biển
house	nhà ở
righ	đúng
plus	thêm
customer	khách hàng
aceptable	có thể chấp nhận được
comeback	sự trở lại
sevices	thiết bị
party	buổi tiệc
vietnan	việt nam
cliff	vách đá
vannot	không thể
checkout	thủ tục thanh toán
definitely	định nghĩa
tan	rám nắng
vacationtrip	chuyến đi nghỉ
slippery	trơn
epic	sử thi
answers	câu trả lời
foggy	sương mù
look	nhìn
owner	chủ nhân
sweet	ngọt
light	ánh sáng
tiny	nhỏ bé
villa	biệt thự
feel	cảm thấy
rising	trỗi dậy
tours	các chuyến du lịch
layback	lùi lại
enjoyable	thú vị
scramble	tranh giành
soap	xà bông
honey	mật ong
discovery	khám phá
upsells	bán thêm
avoid	tránh
forty	bốn mươi
garden	vườn
oriced	có giá cao
sports	các môn thể thao
think	suy nghĩ
reasonable	hợp lý
adveristed	tôn thờ
scape	vật tế thần
park	công viên
shuttle	đưa đón
angst	sợ
evryday	hằng ngày
grade	cấp
professional	chuyên nghiệp
technology	công nghệ
furnished	trang bị
bluelake	hồ xanh
hospitable	hiếu khách
dormworld	thế giới ký túc xá
union	liên hiệp
puolet	màu tím
belongings	đồ đạc
poshtel	sang trọng
prepare	chuẩn bị
song	bài hát
tuyet	tuyết
jasmine	hoa nhài
bandaids	khăn rằn
coupon	phiếu mua hàng
brie	phô mai mềm của pháp
scene	bối cảnh
resoet	phương sách
valued	có giá trị
wellness	sức khỏe
sended	đã gửi
stronly	mạnh mẽ
amenity	lể nghi
roundtrip	khứ hồi
sanitiser	chất tẩy rửa
coming	sắp tới
leah	nhảy
bfast	bữa ăn sáng
toboggan	xe trượt băng
majetstic	chuyên ngành
minibus	xe buýt nhỏ
bus	xe buýt
incredible	đáng kinh ngạc
thing	điều
exelent	cường tráng
snorkeling	lặn với ống thở
phoenix	phượng hoàng
discovey	khám phá
most	phần lớn
gross	tổng
swooping	sà vào
appart	ứng dụng
brownie	bánh hạnh nhân
expensive	đắt
volume	âm lượng
backpacka	ba lô
kindly	tử tế
jounies	hành trình
again	lần nữa
happy	vui mừng
gentlemab	quý ông
mystery	huyền bí
riverside	ven sông
clam	yên tĩnh
conviniently	thuận tiện
moon	mặt trăng
lifetime	cả đời
near	ở gần
chikdren	bọn trẻ
sands	cát
repair	sửa
riverlife	cuộc sống trên sông
august	tháng tám
plaza	quảng trường
rrats	chúc mừng
mark	dấu
digs	đào
day	ngày
pariat	ban giám hiệu
arround	vòng vây
smith	thợ rèn
lobbybar	quầy bar ở sảnh
hong	hồng
add	thêm vào
practice	thực hành
sceond	thứ hai
coming	đến
art	nghệ thuật
profasional	chuyên nghiệp
earth	trái đất
peacful	bình yên
miniature	thu nhỏ
square	quảng trường
lougne	phòng chờ
enough	đủ
bad	tệ
echo	tiếng vang
plastic	nhựa dẻo
renaissance	thời phục hưng
danang	đà nẵng
breaky	vỡ
slags	đồ ăn mòn
resrot	phương sách
long	dài
marker	đánh dấu
attached	đính kèm
hip	hông
store	cửa hàng
awry	không như ý
lackluster	mờ nhạt
halonh	hạ long
sure	chắc chắn rồi
unbooked	chưa đặt trước
layover	trạm dừng chân
received	nhận
delay	sự chậm trễ
omletter	ốp lết
sister	em gái
ground	đất
medallion	huy chương
touch	chạm
deliciuos	thơm ngon
relation	quan hệ
airmiles	dặm bay
beyond	vượt ra ngoài
stylist	nhà tạo mẫu
call	gọi
hostell	nhà trọ
cruis	du thuyền
chau	châu
wows	chúc mừng
tuna	cá ngừ
confortable	thoải mái
enjoy	thưởng thức
together	cùng với nhau
kitchen	phòng bếp
lama	lạt ma
lots	rất nhiều
easy	dễ dàng
setup	thiết lập
services	dịch vụ
verygoof	rất xa vời
up	lên
dark	tối
exchange	đổi
valuable	quý giá
untill	hết
boutique	cửa hàng
read	đọc
ray	cá đuối
view	lượt xem
vip	cao cấp
arrived	đã đến
breathtaking	ngoạn mục
welness	sự thân thiện
cranes	cần cẩu
penh	pênh
lobby	sảnh đợi
moutain	núi
roulette	cò quay
overwelmed	choáng ngợp
beachfront	bãi biển
short	ngắn
family	gia đình
perferct	hoàn hảo
fortunate	may mắn
ask	hỏi
rersort	phương sách
smile	nụ cười
blip	đốm sáng
funny	buồn cười
excellent	thông minh
tanning	thuộc da
anithyng	bất cứ thứ gì
translator	người phiên dịch
spacieuse	khoảng trống
flash	tốc biến
duck	con vịt
shack	lán
feed	cho ăn
quality	chất lượng
greatly	rất nhiều
noboby	không ai
autumn	mùa thu
toilet	phòng vệ sinh
betel	trầu
salsa	điệu salsa
through	xuyên qua
only	chỉ có
sent	gởi
aroma	hương thơm
stumbled	vấp ngã
bell	chuông
bach	bạch
space	không gian
chips	khoai tây chiên
recept	chấp nhận
acient	cổ xưa
engineer	kỹ sư
maxim	châm ngôn
forest	rừng
such	như là
heritage	gia tài
fairies	tiên nữ
positives	tích cực
massshe	mát xa
everything	mọi điều
paperthin	giấy mỏng
powerpoints	điểm mạnh
foot	chân
recepton	thụ thể
fiinger	ngón tay
prove	chứng minh
show	chỉ
homstay	ở nhà người bản xứ
singer	ca sĩ
luna	ánh trăng
noisey	ồn ào
bich	bích
nothing	không có gì
myvillage	làng tôi
important	quan trọng
bouique	cửa hàng
arrival	đến
just	chỉ
towells	khăn tắm
privet	mồi
bicycle	xe đạp
phuong	phương
oldtown	phố cổ
dungeon	ngục tối
tribees	bộ lạc
furbished	có lông
suraunded	ngập tràn
accomadtion	chỗ ở
puplic	công cộng
seat	ghế
coast	bờ biển
unsympathetic	không thông cảm
broad	rộng lớn
marine	hàng hải
try	thử
successfully	thành công
doorgirl	cô gái gác cửa
surprise	sự ngạc nhiên
trouble	rắc rối
excellentlent	xuất sắc
wellcome	chào mừng
furnitured	trang bị
besides	ngoài ra
star	ngôi sao
checkincheckout	đăng nhập. thoát ra
interesting	hấp dẫn
votere	bình chọn
bungarlow	nhà gỗ
be	là
combination	sự phối hợp
belt	thắt lưng
head	cái đầu
backpacking	ba lô
recliners	ghế tựa
gala	dạ tiệc
princess	công chúa
homie	người nhà
lasagna	mì nướng kiểu ý
toki	trượt tuyết
mile	dặm
patien	kiên nhẫn
citadel	thành lũy
delight	hân hoan
ooops	rất tiếc
hill	đồi núi
bowls	bát
continental	lục địa
awesome	tuyệt vời
forum	diễn đàn
am	là
diving	lặn
nasties	tuổi mới lớn
angel	thiên thần
pho	phở
burn	đốt cháy
toilte	phòng vệ sinh
huyen	huyền
cotton	bông
company	công ty
bien	biên
legap	cái chân
raspberry	dâu rừng
sanatized	làm vệ sinh
historic	mang tính lịch sử
allright	được rồi
review	đánh giá
prior	trước
comparison	sự so sánh
unexpected	bất ngờ
beware	coi chừng
increase	tăng
opion	ý kiến
suprise	ngạc nhiên
replaced	thay thế
nguyen	nguyên
understaffed	thiếu nhân sự
convinces	thuyết phục
nheo	nheo nhóc
of	của
vieew	lượt xem
steam	hơi nước
clostrophobic	nỗi ám ảnh
run	chạy
visa	hộ chiếu
kiteboard	ván diều
hochimihn	hồ chí minh
hapoened	đã xảy ra
hideout	nơi ẩn náu
use	sử dụng
exeptional	đặc biệt
lounge	phòng chờ
doing	đang làm
impressive	ấn tượng
thx	cám ơn
splurge	bắn tung toé
burger	bánh mì kẹp thịt
cityview	cảnh quan thành phố
lunch	bữa trưa
bloke	nở hoa
traveller	khách du lịch
flam	ngọn lửa
malay	tiếng mã lai
thenhin	sau đó
bargain	trả giá
infested	bị lây nhiễm
soleil	đế giày
daisy	hoa cúc
morning	buổi sáng
lol	cười lớn
matraces	ma trận
snapper	cá hồng
resoer	phương sách
yesterday	hôm qua
tguong	thường
founder	người sáng lập
con	con lừa
incharge	phụ trách
experince	kinh nghiệm
called	gọi là
brings	mang lại
stayed	đã ở lại
club	câu lạc bộ
lance	cây thương
yacht	thuyền buồm
royal	hoàng gia
restaurant	nhà hàng
bana	chuối
experiment	thí nghiệm
homes	những ngôi nhà
eat	ăn
peapole	mọi người
beerfresh	bia tươi
rattled	lạch cạch
serene	thanh thản
happend	xảy ra
alittle	một chút
neighter	người cận thị
restaurang	nhà hàng
canooing	chèo thuyền
need	nhu cầu
advisor	cố vấn
above	ở trên
breaksts	bẻ gãy
vote	bỏ phiếu
peking	bắc kinh
marina	bến du thuyền
weed	cỏ dại
sunflower	hoa hướng dương
vanity	tự phụ
sex	tình dục
cardinal	hồng y
laundry	giặt ủi
do	làm
pub	quán rượu
organic	hữu cơ
alley	ngõ
camping	cắm trại
licatiin	vị trí
blue	màu xanh da trời
herbal	thảo dược
helful	hữu ích
there	ở đó
rice	cơm
airpirt	sân bay
hue	màu sắc
mihouse	nhà của mi
quaters	người xếp hạng
mass	khối lượng
skype	ứng dụng trò chuyện
january	tháng giêng
owers	chủ nợ
app	ứng dụng
it	nó
hotels	nhiều khách sạn
dessole	áo lót
salad	rau xà lách
travels	du lịch
sand	cát
peddling	bán rong
hoang	hoàng
fusion	dung hợp
blurb	sự lộn xộn
scenery	phong cảnh
conkhach	ốc xà cừ
locked	bị khóa
batender	người pha chế rượu
pepper	tiêu
ofas	như là
harbour	hải cảng
th	thứ tự
chineese	người trung quốc
dinner	bữa tối
sunny	nắng
regards	trân trọng
tequila	rượu tequila
villarge	làng
tables	những cái bàn
chilling	rùng mình
swiss	thụy sĩ
writes	viết
invoice	hóa đơn
pa	bố
amenaties	tiện nghi
checkeout	rô to
hours	giờ
milk	sữa
tooooo	quá
bellman	người đánh chuông
nature	thiên nhiên
bash	bấu víu
alcove	hốc tường
little	ít
dust	bụi bặm
allsorts	tất cả các loại
hoards	tích trữ
qualities	phẩm chất
moldy	bị mốc
lightly	nhẹ nhàng
stat	chỉ số
sunloungers	ghế tắm nắng
hack	gian lận
moment	chốc lát
popping	bốp
fax	số fax
ghostly	ma quái
cabbie	người lái taxi
corteseous	kháu khỉnh
vietnam	việt nam
duplex	song công
hien	hiền
fan	quạt
headscratcher	thợ cạo đầu
raked	cào
large	lớn
corridor	công ty cổ phần
lanterns	đèn lồng
liu	liu điu
playlist	danh sách phát
plesant	khó chịu
dribbled	rê bóng
non	không
avarage	trung bình cộng
sky	bầu trời
team	đội
underwhelming	áp đảo
eo	eo ơi
nigts	đêm
bill	hóa đơn
thang	thắng
land	đất đai
comforable	thoải mái
confirm	xác nhận
smoothies	sinh tố
bean	hạt đậu
manager	giám đốc
package	gói
thuc	thục
superb	tuyệt vời
regency	nhiếp chính
hi	chào
stopover	dừng chân
gorget	tiện ích
hat	mũ
tanh	tánh
truly	thực sự
cockerel	gà trống
ngoai	ngoại
nights	đêm
hers	của cô ấy
accueillant	người tố cáo
mountain	núi
also	cũng thế
simcard	thẻ sim
bicylces	xe đạp
bedsheets	ga trải giường
anyways	dù sao đi nữa
harmony	hòa hợp
sling	treo lên
lavender	hoa oải hương
convientely	thuận tiện
healthy	khỏe mạnh
crossaint	bánh sừng bò
anything	bất cứ thứ gì
tomorrow	ngày mai
cosy	ấm cúng
over	kết thúc
welll	hàn
rat	con chuột
island	đảo
break	phá vỡ
yearend	hết năm
eqipment	trang thiết bị
ensuites	quần áo
warmly	nồng nhiệt
mouthwatering	vừa miệng
quest	nhiệm vụ
horrible	kinh khủng
dance	nhảy
city	thành phố
fancy	mến
seasons	các mùa
vac	bỏ trống
bartender	người pha chế rượu
viatnamese	tiếng việt
onetrip	một chuyến đi
mercure	thương xót
hamocks	võng
aloe	nha đam
um	ừm
motobike	xe máy
ok	đồng ý
compfty	tài giỏi
therapit	nhà trị liệu
veraemente	hiên ngang
screaming	la hét
quadruple	bốn người
meet	gặp
concierge	nhân viên hướng dẫn
hotellocation	vị trí khách sạn
funky	sôi nổi
grumpy	gắt gỏng
huong	hương
riddled	câu đố
thien	thiên
koi	cá koi
via	thông qua
tuan	anh tuấn
smiles	nụ cười
ruby	hồng ngọc
safary	an toàn
point	điểm
funcioning	hoạt động
airblade	lưỡi không khí
messenger	tin nhắn
boattour	thuyên du lịch
sattelite	vệ tinh
finger	ngón tay
tigon	hổ sư
photobombing	ghép ảnh
which	cái nào
untampered	chưa được kiểm tra
how	làm sao
unplanned	không có kế hoạch
factory	nhà máy
villass	con chó
book	sách
bunaglows	nhà gỗ
host	tổ chức
foir	ngựa con
craft	thủ công
cctv	camera quan sát
fault	lỗi
outing	đi chơi xa
bright	sáng
birthday	sinh nhật
cheats	gian lận
service	dịch vụ
mama	má
fabulous	tuyệt vời
phone	điện thoại
home	trang chủ
guys	các bạn
re	lại
extremely	vô cùng
latte	pha cà phê
smart	thông minh
giap	giáp
lady	quý bà
butterbeer	bia bơ
angered	tức giận
everyone	tất cả mọi người
horizon	chân trời
gamer	game thủ
boss	ông chủ
global	toàn cầu
tour	chuyến du lịch
verging	bờ vực
le	lê
importance	tầm quan trọng
sunsea	hoàng hôn
homely	thân thiện
oasis	ốc đảo
mr	ông
emproved	tán thành
love	yêu và quý
awful	kinh khủng
matresses	nệm
usd	đô la mỹ
chef	bếp trưởng
verymuch	rất nhiều
cafe	quán cà phê
restoran	phục hồi
needs	nhu cầu
hey	chào
ensuite	phòng tắm
building	xây dựng
makes	làm cho
deli	cửa hàng thức ăn ngon
exceptionnel	kênh ngoại lệ
province	tỉnh
condote	dẫn lời
hum	ngân nga
felt	cảm thấy
vietinbank	ngân hàng vietinbank
may	có thể
tatashow	chiếu tatashow
ebb	hạ xuống
huan	huân
various	đa dạng
loundry	giặt ủi
experience	kinh nghiệm
hanriver	sông han
necrotizing	hoại tử
associates	cộng sự
fusionrisort	hợp nhất
village	làng
retreat	rút lui
muslim	hồi
rock	đá
rooftop	sân thượng
manage	quản lý
span	nhịp
luck	may mắn
expectationsthat	kỳ vọng
gutted	rút ruột
amazinggggg	tuyệt vờigggg
amamzing	kinh ngạc
crazy	khùng
easygoing	dễ dãi
berry	quả mọng
maple	cây phong
anwe	sợ hãi
recommened	đề nghị
speacial	đặc biệt
lieuw	liễuw
socola	sô cô la
shrims	tôm
trip	chuyến đi
driver	người lái xe
didnt	không
pine	cây thông
breackfast	bữa ăn sáng
doughy	nhão nhoét
protein	chất đạm
definitley	chắc chắn
security	bảo vệ
resturant	nhà hàng
locatiin	vị trí
official	chính thức
ban	lệnh cấm
brdige	cầu
behaviors	hành vi cư xử
chicken	thịt gà
getting	nhận được
laf	không có nghĩa
denonstrates	minh chứng
premium	cao cấp
literie	người biết chữ
vitnam	việt nam
miss	cô
toute	chào hàng
sesame	mè
alcarte	gọi món
everywhere	mọi nơi
suiting	kiện cáo
must	phải
design	thiết kế
howerver	tuy nhiên
elevator	thang máy
mosquitos	muỗi
ameneties	tiện nghi
desgin	thiết kế
windmills	cối xay gió
tidier	ngăn nắp hơn
bot	người máy
porch	hiên nhà
bonus	tặng kem
lying	nói dối
vet	bác sĩ thú y
musky	xạ hương
delicous	thơm ngon
sound	âm thanh
serenade	dạ khúc
arriving	đến nơi
stayin	ở lại
doting	lẩm cẩm
siagon	sài gòn
luong	luồng
diep	điệp
mad	điên
river	con sông
gallery	bộ sưu tập
saigon	sài gòn
allways	mọi cách
pool	bể bơi
no	không
ages	lứa tuổi
alert	cảnh giác
food	món ăn
landmark	phong cảnh
creak	cót két
siesta	giấc ngủ trưa
robes	áo choàng
awared	cảnh giác
butler	quản gia
wind	gió
cozy	ấm cúng
keg	thùng
expectations	kỳ vọng
stunning	kinh ngạc
ones	những cái
khuynh	khuynh hướng
bub	bọt
counters	quầy giao dịch
airport	sân bay
rim	vành
atsmosphere	không khí
acti	hoạt động
vets	bác sĩ thú y
treeated	trồng cây
lantern	đèn lồng
checked	đã kiểm tra
dissapointed	thất vọng
annoyance	khó chịu
me	tôi
kayle	thuyền kayle
hangout	đi ra ngoài
immaculate	vô nhiễm
housekeeping	dọn phòng
feeling	cảm giác
post	bài đăng
hapiness	hạnh phúc
twin	sinh đôi
dining	ăn uống
virus	vi-rút
wonderful	tuyệt vời
floating	nổi
didint	không
phuc	phúc
charged	tính phí
weater	thời tiết
excelent	tuyệt vời
satifying	hài lòng
bay	vịnh
wowwowwow	tuyệt tuyệt tuyệt
fresh	tươi
sitetour	tour du lịch trang web
guesthouse	nhà khách
huge	khổng lồ
small	nhỏ
cheat	lừa đảo
sales	bán hàng
dip	nhúng
cotu	cơtu
absolutley	chắc chắn rồi
prorate	chia theo tỷ lệ
confortable	có thể kết nối
even	cũng
population	dân số
tinfoil	giấy thiếc
kitted	mèo con
dragon	rồng
guitar	đàn ghi ta
huanh	hoàng
bordet	giáp ranh
sadly	thật đáng buồn
sraff	con quỷ
barbecue	tiệc nướng ngoài trời
condos	căn hộ
kind	tốt bụng
motorcycle	xe máy
neverland	vùng đất thần thoại
discusting	thảo luận
strongly	mạnh mẽ
tacos	bánh tét
braethtaking	ngoạn mục
kha	khà
seaview	hướng biển
rank	cấp
replace	thay thế
adventures	những cuộc phiêu lưu
relaxation	thư giãn
eyes	đôi mắt
eh	hở
waterpark	công viên nước
evening	tối
bedder	người đi ngủ
omlette	ốp lết
importantly	quan trọng
thank	cảm tạ
romance	lãng mạn
cheched	đã kiểm tra
friend	bạn bè
duffle	vải thô
action	hoạt động
cashier	thu ngân
partner	cộng sự
selfie	chụp ảnh tự sướng
sunlight	ánh nắng mặt trời
cool	mát mẻ
ideas	ý tưởng
would	sẽ
max	tối đa
vacation	kỳ nghỉ
force	lực lượng
doormen	người gác cửa
frd	thứ ba
unfriendly	không thân thiện
cackling	nói nhỏ
you	bạn
banquet	yến tiệc
cigarettes	thuốc lá
seaweed	rong biển
owns	sở hữu
tropical	nhiệt đới
ethnic	dân tộc
megamall	trung tâm thương mại lớn
sin	tội
tried	đã thử
poond	trầm ngâm
appreaciate	đánh giá
welcome	chào mừng
flavoursome	hương vị
spotless	không tì vết
lied	đã nghe
wad	một xấp
recommed	gợi ý
reccommend	đề nghị
coffeebean	hạt cà phê
villla	biệt thự
bikeride	đạp xe
fantastic	tuyệt diệu
dew	sương
fourday	bốn ngày
thuong	thường
unfortuanatly	không may
on	trên
die	chết
backy	trở lại
neighboors	người hàng xóm
windowview	cửa sổ
aisling	lối đi
caf	quán cà phê
heloed	say mê
pomelos	bưởi
oberwatch	ghi đè
slippy	trơn trượt
trink	đồ vặt
moments	khoảnh khắc
become	trở nên
question	câu hỏi
quarter	phần tư
homecooked	nấu chín
motel	nhà trọ
indoor	trong nhà
makong	chế tạo
azalea	cây đổ quyên
outlet	lối thoát
dod	né tránh
anyway	dù sao
serviceman	người phục vụ
huu	hữu
oct	tháng 10
cherry	quả anh đào
senses	giác quan
foodie	người sành ăn
survice	phụ tá
dung	phân
update	cập nhật
trom	trôm
yea	vâng
guy	chàng
homestay	ở nhà người bản xứ
about	trong khoảng
ppl	mọi người
loyality	trung thành
hosts	máy chủ
